351  17     245;2538059.327;1174679.957;
351  17     246;2538062.050;1174736.722;
351  17     247;2538089.898;1174738.764;
351  17     249;2538089.433;1174735.830;
351  17     250;2538086.513;1174739.306;
351  17     251;2538057.569;1174696.582;
351  17     252;2538106.660;1174609.349;
351  17     254;2538067.275;1174433.951;
351  17     255;2538061.315;1174438.084;
351  17     256;2538069.004;1174457.220;
351  17     258;2538050.175;1174435.154;
351  17     260;2538049.100;1174431.094;
351  17     261;2538074.555;1174656.463;
351  17     262;2538073.414;1174656.706;
351  17     263;2538069.561;1174684.843;
351  17     264;2538088.775;1174682.280;
351  17     265;2538092.438;1174681.680;
351  17     266;2538080.427;1174586.985;
351  17     267;2538094.909;1174659.374;
351  17     268;2538071.660;1174491.517;
351  17     270;2538111.327;1174751.289;
351  17     272;2538013.612;1174350.149;
351  17     273;2538011.299;1174341.431;
351  17     274;2538086.240;1174524.244;
351  17     275;2538098.012;1174523.509;
351  17     276;2538081.648;1174436.017;
351  17     277;2538076.145;1174457.367;
351  17     278;2538069.512;1174481.218;
351  17     279;2538298.254;1174474.686;
351  17     281;2538111.282;1174486.707;
351  17     300;2538001.976;1174715.057;
351  17     301;2538082.233;1174584.657;
351  17     302;2538065.117;1174678.978;
351  17     303;2538080.666;1174702.707;
351  17     304;2538064.078;1174661.193;
351  17     305;2537993.045;1174723.123;
351  17     306;2538086.640;1174532.450;
351  17     307;2538070.126;1174454.733;
351  17     308;2538059.943;1174519.607;
351  17     309;2538057.892;1174682.512;
351  17     310;2538046.327;1174641.291;
351  17     311;2538039.127;1174682.960;
351  17     312;2538060.540;1174686.266;
351  17     313;2538003.434;1174718.217;
351  17     314;2538030.895;1174533.860;
351  17     315;2538049.795;1174742.900;
351  17     316;2538043.396;1174691.143;
351  17     317;2538074.286;1174441.637;
351  17     319;2538105.823;1174599.296;
351  17     320;2538099.161;1174539.901;
351  17     321;2538064.668;1174729.406;
351  17     322;2538050.612;1174509.360;
351  17     323;2538152.911;1174782.407;
351  17     324;2538076.844;1174703.300;
351  17     325;2538073.887;1174658.908;
351  17     326;2538055.033;1174429.563;
351  17     327;2538059.263;1174516.916;
351  17     328;2538000.986;1174355.290;
351  17     329;2538012.922;1174472.587;
351  17     330;2537997.318;1174352.148;
351  17     331;2538065.223;1174736.212;
351  17     332;2537989.309;1174715.275;
351  17     333;2537999.553;1174710.422;
351  17     334;2538005.648;1174354.271;
351  17     335;2538090.612;1174595.494;
351  17     336;2537996.033;1174461.118;
351  17     337;2538057.468;1174680.346;
351  17     338;2538097.836;1174615.027;
351  17     339;2538046.306;1174509.083;
351  17     340;2538055.336;1174741.769;
351  17     341;2538066.880;1174431.385;
351  17     342;2537961.774;1174421.432;
351  17     343;2538087.211;1174673.521;
351  17     344;2538090.648;1174584.383;
351  17     345;2538116.612;1174608.479;
351  17     346;2538056.972;1174507.694;
351  17     347;2537998.896;1174720.358;
351  17     348;2538103.440;1174670.603;
351  17     349;2538055.379;1174683.006;
351  17     351;2538079.999;1174532.721;
351  17     352;2537990.317;1174464.494;
351  17     353;2537996.436;1174347.900;
351  17     354;2538034.724;1174730.061;
351  17     355;2538011.343;1174345.697;
351  17     356;2538078.194;1174469.533;
351  17     357;2538004.619;1174480.115;
351  17     358;2538011.925;1174436.930;
351  17     359;2537998.138;1174707.435;
351  17     360;2538054.546;1174427.824;
351  17     361;2538046.288;1174710.360;
351  17     362;2538038.180;1174531.860;
351  17     363;2538005.109;1174329.062;
351  17     364;2538122.974;1174666.336;
351  17     365;2537987.094;1174460.431;
351  17     366;2538129.350;1174695.842;
351  17     367;2538075.668;1174675.495;
351  17     368;2538041.920;1174715.704;
351  17     369;2538046.255;1174529.536;
351  17     370;2538037.677;1174717.704;
351  17     371;2538054.429;1174698.527;
351  17     372;2538068.734;1174631.024;
351  17     373;2538054.820;1174427.785;
351  17     374;2537984.069;1174470.184;
351  17     375;2537978.385;1174473.593;
351  17     376;2538091.367;1174466.400;
351  17     377;2538061.071;1174535.304;
351  17     378;2538038.250;1174717.442;
351  17     379;2537995.548;1174448.557;
351  17     381;2538005.377;1174479.374;
351  17     382;2538066.327;1174416.753;
351  17     384;2538097.553;1174610.135;
351  17     385;2538004.200;1174704.602;
351  17     386;2538086.900;1174538.542;
351  17     387;2538050.312;1174508.031;
351  17     388;2538033.339;1174536.670;
351  17     389;2538050.564;1174538.023;
351  17     390;2538155.834;1174791.807;
351  17     391;2538080.072;1174726.029;
351  17     392;2538054.009;1174634.480;
351  17     393;2538045.684;1174661.609;
351  17     394;2538097.718;1174517.657;
351  17     395;2537989.904;1174405.751;
351  17     396;2538105.383;1174594.316;
351  17     397;2538040.641;1174712.963;
351  17     398;2537991.677;1174456.371;
351  17     399;2538060.251;1174531.756;
351  17     400;2538055.091;1174639.346;
351  17     401;2538076.683;1174415.160;
351  17     402;2538143.885;1174795.523;
351  17     403;2538081.793;1174573.767;
351  17     404;2538026.020;1174516.058;
351  17     405;2538063.308;1174657.673;
351  17     406;2538109.807;1174700.097;
351  17     407;2538094.467;1174466.751;
351  17     408;2538058.034;1174452.173;
351  17     409;2538140.950;1174786.138;
351  17     410;2538065.752;1174692.865;
351  17     411;2538077.063;1174710.903;
351  17     412;2538092.223;1174615.482;
351  17     413;2538052.308;1174412.831;
351  17     414;2538039.061;1174535.109;
351  17     415;2538067.332;1174690.710;
351  17     416;2537992.688;1174444.510;
351  17     417;2537995.218;1174348.515;
351  17     418;2538047.684;1174732.846;
351  17     419;2538093.926;1174539.869;
351  17     420;2537981.046;1174449.007;
351  17     421;2537999.391;1174721.491;
351  17     423;2538046.725;1174716.140;
351  17     424;2538072.841;1174434.651;
351  17     425;2538115.896;1174598.610;
351  17     427;2537977.870;1174450.221;
351  17     428;2538007.846;1174712.313;
351  17     429;2538049.648;1174534.467;
